episode,total_reward,steps,terminated,truncated,success,final_layer,final_position,has_key,door_open,terminal_activated,has_portal_core,portal_open,has_lab_key,machine_used,has_result
189,-32.20000000000003,100,False,True,False,0,"(6, 4)",False,False,False,False,False,False,False,False
190,-26.70000000000002,100,False,True,False,0,"(6, 2)",False,False,False,False,False,False,False,False
191,-35.50000000000002,100,False,True,False,0,"(2, 6)",True,False,True,False,False,False,False,False
192,-39.00000000000002,100,False,True,False,0,"(1, 3)",False,False,False,False,False,False,False,False
193,-31.65000000000003,100,False,True,False,0,"(6, 1)",False,False,False,False,False,False,False,False
194,-33.90000000000002,100,False,True,False,0,"(6, 4)",False,False,False,False,False,False,False,False
195,-40.050000000000004,100,False,True,False,0,"(3, 2)",False,False,False,False,False,False,False,False
196,-30.10000000000002,100,False,True,False,0,"(6, 4)",True,False,False,False,False,False,False,False
197,-35.750000000000014,100,False,True,False,0,"(6, 3)",False,False,False,False,False,False,False,False
198,-37.55000000000002,100,False,True,False,0,"(1, 6)",True,False,False,False,False,False,False,False
199,-28.95000000000002,100,False,True,False,0,"(6, 1)",True,True,False,False,False,False,False,False
200,-33.45000000000001,100,False,True,False,0,"(5, 4)",True,False,True,False,False,False,False,False
201,-38.5,100,False,True,False,0,"(6, 2)",False,False,False,False,False,False,False,False
202,-32.55000000000002,100,False,True,False,0,"(4, 1)",False,False,False,False,False,False,False,False
203,-34.90000000000002,100,False,True,False,0,"(3, 1)",False,False,False,False,False,False,False,False
204,-33.200000000000024,100,False,True,False,0,"(3, 5)",False,False,True,False,False,False,False,False
205,-32.20000000000003,100,False,True,False,0,"(6, 4)",False,False,False,False,False,False,False,False
206,-36.40000000000002,100,False,True,False,0,"(1, 1)",True,False,False,False,False,False,False,False
207,-25.550000000000036,100,False,True,False,0,"(5, 6)",False,False,False,True,False,False,False,False
208,-38.15000000000002,100,False,True,False,0,"(3, 2)",False,False,False,False,False,False,False,False
209,-35.20000000000002,100,False,True,False,0,"(6, 4)",False,False,False,False,False,False,False,False
210,-36.35000000000002,100,False,True,False,0,"(1, 4)",True,True,True,False,False,False,False,False
211,-32.800000000000026,100,False,True,False,0,"(1, 1)",True,False,False,False,False,False,False,False
212,-38.500000000000014,100,False,True,False,0,"(1, 1)",False,False,False,False,False,False,False,False
213,-29.100000000000026,100,False,True,False,0,"(6, 2)",False,False,False,True,False,False,False,False
214,-33.00000000000002,100,False,True,False,0,"(3, 1)",True,True,False,False,False,False,False,False
215,-35.85000000000002,100,False,True,False,0,"(2, 1)",False,False,False,True,False,False,False,False
216,-34.950000000000024,100,False,True,False,0,"(1, 4)",False,False,False,False,False,False,False,False
