episode,total_reward,steps,terminated,truncated,success,final_layer,final_position,has_key,door_open,terminal_activated,has_portal_core,portal_open,has_lab_key,machine_used,has_result,epsilon
136,-8.299999999999994,100,False,True,False,1,"(5, 1)",True,True,True,True,True,False,False,False,0.5082950737585841
137,-13.899999999999997,100,False,True,False,0,"(6, 6)",True,True,False,True,False,False,False,False,0.5057535983897912
138,-15.70000000000001,100,False,True,False,0,"(1, 5)",True,True,False,True,False,False,False,False,0.5032248303978422
139,-14.55,100,False,True,False,0,"(1, 6)",False,False,True,True,False,False,False,False,0.500708706245853
140,-18.850000000000005,100,False,True,False,1,"(1, 2)",True,True,True,True,True,True,False,False,0.4982051627146237
141,-10.749999999999996,100,False,True,False,1,"(1, 6)",True,True,True,True,True,True,False,False,0.49571413690105054
142,-7.6000000000000005,100,False,True,False,1,"(3, 3)",True,True,True,True,True,True,False,False,0.4932355662165453
143,-15.499999999999996,100,False,True,False,0,"(3, 5)",True,True,True,True,False,False,False,False,0.4907693883854626
144,-11.449999999999992,100,False,True,False,1,"(2, 1)",True,True,True,True,True,False,False,False,0.4883155414435353
145,-12.549999999999999,100,False,True,False,1,"(3, 6)",True,True,True,True,True,True,False,False,0.4858739637363176
146,-10.749999999999993,100,False,True,False,1,"(3, 6)",True,True,True,True,True,True,False,False,0.483444593917636
147,-16.55,100,False,True,False,0,"(1, 2)",True,True,False,True,False,False,False,False,0.4810273709480478
148,-15.200000000000003,100,False,True,False,0,"(3, 1)",True,True,False,True,False,False,False,False,0.47862223409330756
149,-14.800000000000004,100,False,True,False,1,"(6, 2)",True,True,True,True,True,True,False,False,0.47622912292284103
150,-12.549999999999994,100,False,True,False,1,"(1, 6)",True,True,True,True,True,True,False,False,0.4738479773082268
151,-12.649999999999993,100,False,True,False,1,"(6, 3)",True,True,True,True,True,True,True,True,0.47147873742168567
152,-12.949999999999996,100,False,True,False,0,"(2, 1)",True,True,False,True,False,False,False,False,0.46912134373457726
153,15.400000000000007,74,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.46677573701590436
154,18.900000000000002,49,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.46444185833082485
155,17.3,72,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.46211964903917074
156,18.100000000000005,65,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.4598090507939749
157,-29.750000000000007,100,False,True,False,1,"(3, 6)",True,True,True,True,True,True,True,True,0.457510005540005
158,-12.049999999999994,100,False,True,False,0,"(4, 3)",True,True,False,True,False,False,False,False,0.45522245551230495
159,17.400000000000006,61,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.4529463432347434
160,-12.249999999999995,100,False,True,False,0,"(2, 1)",False,False,True,True,False,False,False,False,0.4506816115185697
161,9.300000000000002,70,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.4484282034609769
162,-12.949999999999992,100,False,True,False,0,"(1, 2)",True,True,False,True,False,False,False,False,0.446186062443672
163,10.800000000000002,91,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.4439551321314536
164,18.800000000000004,60,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.4417353564707963
165,12.100000000000005,77,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.43952667968844233
166,18.500000000000004,57,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.43732904629000013
167,17.300000000000004,36,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.4351424010585501
168,-16.150000000000002,100,False,True,False,0,"(5, 6)",True,False,True,True,False,False,False,False,0.43296668905325736
169,9.800000000000002,51,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.43080185560799106
170,-28.400000000000013,100,False,True,False,1,"(3, 1)",True,True,True,True,True,True,True,True,0.4286478463299511
171,18.1,56,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.42650460709830135
172,16.5,43,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.42437208406280985
173,-12.699999999999994,100,False,True,False,0,"(5, 3)",False,False,True,True,False,False,False,False,0.4222502236424958
174,2.999999999999999,70,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.42013897252428334
175,19.1,54,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.4180382776616619
176,-11.749999999999991,100,False,True,False,1,"(5, 6)",True,True,True,True,True,True,True,True,0.4159480862733536
177,1.4000000000000021,93,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.41386834584198684
178,12.200000000000003,84,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.4117990041127769
179,-14.300000000000004,100,False,True,False,0,"(4, 6)",True,True,False,True,False,False,False,False,0.40974000909221303
